LAMMPS data file via write_data, version 23 Oct 2017, timestep = 30000

10648 atoms
1 atom types

0.0000000000000000e+00 5.9752000000000002e+01 xlo xhi
0.0000000000000000e+00 5.9752000000000002e+01 ylo yhi
0.0000000000000000e+00 5.9752000000000002e+01 zlo zhi

Masses

1 28.09

Atoms # atomic

3853 1 2.5296922922526049e-01 3.6609819904602353e-01 1.0095252063289661e+00 1 1 0
1721 1 3.5407654329697551e+00 1.8299727361467286e+00 8.8322196310264334e-01 0 0 1
827 1 1.6935409243098437e+01 1.1267332230070466e+00 1.6778441885651056e+00 0 1 0
3388 1 1.9058822782919748e+01 1.8275123534042412e+00 1.0246432679791853e+00 0 1 0
861 1 2.6529163464918952e+01 2.0331273812189266e+00 1.3190406843608498e+00 0 1 -1
4212 1 2.7778685880024781e+01 1.1725624558267010e-01 2.4944067365880765e-01 -2 0 0
145 1 3.8494790619699110e+01 1.4246002532618389e+00 1.3540272712861121e+00 0 -1 0
2386 1 4.4963613444465196e+01 3.7186193794173240e-02 1.5840866718286928e+00 -1 0 0
9398 1 4.6867761917236898e+01 1.3837586030104803e+00 1.0028872187494511e+00 0 1 1
8834 1 5.0562552872075571e+01 3.8114139884778553e-01 2.0226731890109444e+00 0 1 1
1658 1 5.1698659086998560e+01 1.2807053639172910e+00 1.2463990968834215e-02 -1 0 1
3660 1 5.3986996638506092e+01 1.0834220011678883e+00 9.7782063480339243e-01 0 0 0
7115 1 5.7827053667384504e+01 9.3967619678279546e-01 1.9734470136287652e+00 0 -1 1
5833 1 5.3912857422755298e+00 3.3192761155094517e+00 1.4684787387655218e+00 0 0 1
699 1 7.7423291410112789e+00 2.5525281850296593e+00 1.2430979752421512e+00 1 1 0
2898 1 1.1787058405557683e+01 3.0216585669099154e+00 1.1566242358435506e+00 0 1 1
9707 1 1.5980977823510379e+01 3.9223861154029600e+00 1.1271374655329036e+00 0 0 0
8981 1 1.9492606828248267e+01 3.9400843169601893e+00 1.9244075293570659e+00 0 1 0
5260 1 2.2303711957311908e+01 2.0967435686377440e+00 9.0607642431927571e-01 1 0 0
3500 1 2.7478095178947243e+01 3.9293071834728921e+00 4.3282832330289611e-01 0 0 0
9823 1 2.9611359183569299e+01 3.9655989577443638e+00 1.7687079696997079e+00 0 0 2
5274 1 3.1236512677158142e+01 2.2921961445839241e+00 1.6658406030368651e+00 0 0 0
2966 1 3.2791068460234214e+01 4.0282840929587298e+00 2.0345555993699169e+00 0 0 0
5244 1 3.6569889650812321e+01 2.9383495585920785e+00 1.5867733079127193e+00 -1 0 1
10183 1 4.1011874084387983e+01 2.3175569235045481e+00 1.2986444175013825e+00 0 0 1
2484 1 5.6573595106410501e+01 2.8777067357326951e+00 1.2323838388141475e+00 0 1 0
8836 1 4.9054767362672791e-01 4.4017271016057959e+00 3.1372546972259407e-01 1 0 2
8511 1 5.4053051798594947e+00 5.3277353697044196e+00 1.5157327973948365e-01 1 1 1
4842 1 7.9914655285559553e+00 5.2818126622699157e+00 8.4167041484005634e-01 0 0 1
6343 1 1.2365563072737526e+01 5.1996270882780866e+00 1.7818817671506249e+00 0 0 1
10195 1 1.4642487662637079e+01 5.8215529248837408e+00 1.4766766116899670e+00 1 0 1
8283 1 1.8069509482739058e+01 4.9851462546028138e+00 4.2704161254061829e-01 0 1 0
865 1 2.1634914440790570e+01 4.3743665557693108e+00 8.6560861511006126e-01 0 1 0
254 1 2.4595243452422928e+01 4.7069300493502331e+00 1.5205944674422348e-01 0 0 0
1385 1 3.0654952033357780e+01 6.0018515197058209e+00 7.6529856102900129e-01 0 0 0
8798 1 3.7348024238852716e+01 6.0272393870155963e+00 8.1429463362228183e-01 0 0 0
3041 1 4.2140673101563785e+01 5.3418490311784570e+00 1.4079037193743440e+00 0 1 0
6686 1 4.4511056119376548e+01 5.8948292335048063e+00 1.7229060224866390e+00 0 0 0
6772 1 4.8383210077323078e+01 4.9987013982549096e+00 1.1746058835038113e+00 0 0 2
1032 1 5.0698513186973194e+01 4.6477253439291877e+00 1.5091112439067720e+00 0 1 0
5727 1 5.7882017332738336e+01 4.6980860935224937e+00 7.3184611095930996e-02 -1 1 0
3688 1 2.4658041778267612e+00 7.9623906539016751e+00 6.6690620787432972e-02 0 1 -1
6601 1 4.5159427153440106e+00 7.1511988537700866e+00 1.3498475658845952e+00 1 1 0
3684 1 9.0019058449666538e+00 7.5272687811550876e+00 5.5380532160474627e-01 0 2 0
7540 1 1.1460169288899253e+01 7.1447912648118139e+00 5.9481627711926077e-01 0 0 1
217 1 1.8270974800473947e+01 7.3602888256205619e+00 7.0297499359885185e-01 0 0 0
9862 1 2.0601777727569910e+01 8.0699074661748806e+00 4.0279137188797326e-01 0 -1 1
553 1 2.6668539414062412e+01 6.3099865638397938e+00 2.8382296579335836e-01 0 1 0
8525 1 2.9248842458198038e+01 7.7056064501158765e+00 1.8604364058508489e+00 -1 0 1
2012 1 3.3086408240232934e+01 6.4633645196375928e+00 1.2693503825080756e+00 0 0 0
138 1 4.0796819578040449e+01 7.3763645756863347e+00 1.4452720717242511e+00 0 0 0
5883 1 4.7182868585522279e+01 7.3795393815762091e+00 1.5477469521986459e-01 0 0 1
7782 1 4.9691371747885150e+01 7.7330505865056951e+00 2.4731699830765376e-02 -1 1 0
9322 1 5.1319013494486590e+01 6.8495798023354775e+00 1.8116043343413053e+00 0 0 1
5309 1 5.3762713055935592e+01 6.7978112752088711e+00 1.3705718537073501e+00 -1 0 0
4573 1 5.7218222489138789e+01 7.9991068525633038e+00 1.0086666733051519e+00 0 1 1
